Face0,72.726135,67.416618,192.500000,215.000000,179.392792,249.916611,179.392792,66.583282
Face1,290.000000,67.416618,192.500000,215.000000,396.000000,249.916611,396.000000,66.583282
Neck,447.142700,618.095276,50.666656,66.333313,471.190338,676.476257,471.357117,623.309509
FrontArmDown,19.002769,705.169556,242.499969,49.375000,42.002785,730.377930,255.127747,730.377930
BackArmUp,263.764130,755.718811,244.545441,60.000000,290.701111,784.471375,472.587982,784.538086
BackArmDown,261.029846,698.372559,245.384491,60.000000,284.866577,728.300293,496.625305,728.313354
Torso,26.750008,287.250000,150.000000,408.750000,102.000000,616.000000,102.000000,318.000000
BackLegUp,182.437714,359.418610,53.636368,313.636322,207.121338,393.118591,207.575729,650.560059
BackLegDown,254.930756,386.880524,52.999939,288.999786,279.675140,407.694580,279.675171,668.694580
BackFeet,199.460114,304.897064,125.882324,50.588226,226.303345,323.754852,296.928345,333.129852
FrontLegUp,316.042053,361.372925,62.857056,315.713989,347.085449,392.490784,347.849152,652.185547
FrontLegDown,391.599152,391.352173,57.500000,288.750000,419.907196,417.781250,419.578491,675.201904
FrontFeet,329.317810,306.724182,125.789429,49.473663,360.840332,326.554993,428.803345,335.629852
