Face0,41.059471,44.08329,214.166656,239.166656,162.726135,244.916611,163.559464,62.416618
Face1,263.046783,41.285713,211.250031,247.500031,380,244.916611,380,62.416618
Neck,447.1427,618.095276,50.666656,66.333313,471.190338,676.476257,471.357117,623.309509
FrontArmUp,20.888916,762.222229,229.999969,48.888855,49.827751,786.144531,233.794434,786.211243
FrontArmDown,19.002769,705.169556,242.499969,49.375,42.002785,730.37793,255.127747,730.37793
BackArmUp,263.76413,755.718811,244.545441,60,290.701111,784.471375,472.587982,784.538086
BackArmDown,261.029846,698.372559,245.384491,60,284.866577,728.300293,496.625305,728.313354
torso,26.750008,287.25,150,408.75,102,616,102,318
BackLegUp,182.437714,359.41861,53.636368,313.636322,207.121338,393.118591,207.575729,650.560059
BackLegDown,254.930756,386.880524,52.999939,288.999786,279.67514,407.69458,279.675171,668.69458
BackFeet,199.460114,304.897064,125.882324,50.588226,226.303345,323.754852,296.928345,333.129852
FrontLegUp,316.042053,361.372925,62.857056,315.713989,347.085449,392.490784,347.849152,652.185547
FrontLegDown,391.599152,391.352173,57.5,288.75,419.907196,417.78125,419.578491,675.201904
FrontFeet,329.31781,306.724182,125.789429,49.473663,360.840332,326.554993,428.803345,335.629852
